,Ox_Chamber,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,temp_softbake,pr_thickness,lithography_Chamber,Line_CD,Wavelength,exp_time,lense,Etching_Chamber,Thin F4,Temp_Etching,Source_Power,etching_rate1,etching_rate2,etching_rate3,etching_rate4,etching_uni,Chamber_Num,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,flux_rate1,flux_rate2,flux_rate3,flux_rate4,Error_message,target_rate,Target
12,2,dry,1193.9659897,O2,33.81,0.202,149,7161.18,1,13,2,0.62819,15.182,15.034,19.994,199.034,90,91.66,1.9203213304133,2,23.663,436,46734.84,0.911287423397514,2,416,69.934,51.099,143.318,207.3,205.8,118.1,0.264485158290809,2,31655.39,104.646,898,151,3602345000000000,9.40199714285714E+015,-1492020937500000,826328611111111,none,0.0445,89
13,2,dry,1098.1779675,O2,29.05,0.216,149,7035.95,1,14,2,1.01327,18.211,15.006,20.001,197.707,90,94.355,1.96847806221433,3,27.333,365,40237.6,0.706265250008224,1,365,72.593,50.252,130.295,205.9,219,111.9,0.321093697299485,1,30953.889,104.291,897,152,3.29377266666667E+015,6984635714285714,-929326875000000,825099166666667,none,0.052,104
14,2,dry,1013.7034861,O2,49.91,0.209,101,7211.05,1,15,3,0.82107,15.836,14.925,19.993,194.126,90,92.48,1.96466175390944,1,16.467,405,44540.28,0.765332154154903,1,556,71.754,52.645,146.705,211.1,201.4,106.3,0.314948798281005,1,31211.391,102.585,899,151,2.95254343333333E+015,1.89803742857143E+015,225779375000000,830716666666667,none,0.058,116
15,2,wet,1102.4255833,O2,32.47,0.203,112,7036.86,1,16,3,2.17388,15.931,15.1,20.004,199.703,90,94.036,1.99156749523704,2,43.554,405,44694.99,0.856803762320521,2,447,71.441,51.015,130.486,206.8,217.4,104.3,0.343254636669064,2,31603.462,106.007,910,156,1.29651653333333E+015,1.35E+16,-2178682187500000,835506111111111,none,0.062,124
16,2,dry,1100.6468747,O2,32.82,0.205,101,7024.03,1,17,3,1.91871,13.723,14.879,19.998,198.575,90,93.318,2.00551612110323,3,41.893,365,39208.3,0.64972400080459,3,248,71.163,50.547,132.403,203.8,208.6,132.8,0.224901601675317,3,31197.908,103.454,910,155,1416222000000000,7498612285714286,-876713750000000,834073611111111,none,0.0355,71
17,3,dry,996.16264084,H2O,36.66,0.194,148,7071.75,1,18,1,1.70572,13.934,14.899,20.001,198.429,90,90.195,1.88292748205653,1,30.437,365,39670.025,0.697019810639769,3,417,70.345,50.843,136.775,207.1,202.6,119,0.264773282242008,3,31359.595,103.046,894,156,5241663866666667,1.17E+16,-2139954687500000,832728333333333,none,0.0415,83
18,3,wet,1017.2931115,H2O,35.44,0.203,157,7196.4,1,19,1,1.91149,13.286,15.074,19.991,202.801,90.001,91.503,1.98905681078021,2,61.431,365,38844.76,0.709400430304809,2,227,69.832,51.609,149.54,203.3,225,119.1,0.303899905300313,2,32409.504,106.244,899,154,2.91016666666667E+015,9.13827857142857E+015,-1369974375000000,828805000000000,none,0.0475,95
19,3,dry,1037.4383761,O2,36.74,0.205,147,7098.38,1,20,1,2.10876,15.243,14.939,20.002,202.168,90.001,90.706,1.9941737050687,3,47.652,436,47943.868,0.816254701421144,1,185,71.606,51.027,137.038,209.1,200.7,144.5,0.208471109645354,1,32922.767,104.804,923,152,2689248000000000,2365695857142857,140205312500000,823683055555556,none,0.046,92
20,3,dry,1000.0636738,O2,25.53,0.203,56,7155.92,1,21,2,1.00451,16.26,14.995,19.999,200.039,90,90.313,1.89001261655311,1,28.492,436,47766.852,0.872771530032549,1,660,71.068,50.653,142.392,205.3,216.8,85.1,0.4054852892277,1,30786.77,101.334,920,154,149701333333333,2.85970442857143E+015,257342187500000,830015833333333,[['Edge-Loc']],0.1275,255
21,3,dry,1080.0859934,O2,42.37,0.212,84,6989.22,1,22,2,1.48013,14.621,15.052,19.999,202.913,90,91.22,1.94159231562691,2,38.292,436,47087.564,0.811330339846927,2,394,69.362,51.252,125.622,207,210.1,116.8,0.282932184218267,2,30857.277,101.933,897,154,4.38442906666667E+015,3118742857142857,-185920000000000,833068611111111,none,0.0495,99
22,3,dry,1068.5066433,O2,31.47,0.212,117,7082.78,1,23,2,1.33905,16.852,15.041,20.003,197.898,90.001,90.621,1.91244513974501,3,52.821,365,39913.115,0.685735756892584,3,423,72.506,50.769,139.478,203.3,212.9,110.3,0.308118286189634,3,32295.6,100.745,884,155,618859666666667,1.08E+16,-1523953750000000,826703333333333,none,0.0585,117
23,3,wet,1067.2373343,O2,37.17,0.205,137,7041.01,1,24,3,1.12362,17.92,14.929,20,200.741,90.001,90.441,1.95365094379535,1,37.522,436,47138.576,0.846893009830563,3,355,71.744,50.936,135.301,202.7,213.8,116.8,0.290158106254702,3,31614.158,104.38,917,155,1.19051926666667E+015,8926349142857143,-1140929375000000,831468333333333,none,0.065,130
24,3,wet,1035.3569135,H2O,35.36,0.21,125,7152.92,1,25,3,1.62494,20.149,14.995,19.994,200.56,90.001,91.096,1.93328021901962,2,27.664,405,45069.615,0.819562657082843,2,358,71.199,51.446,145.092,205.6,220.9,107.9,0.332601413997516,2,30534.747,100.517,915,156,3.76188766666667E+015,1.23E+16,-2161695625000000,831666666666667,none,0.035,70
25,3,wet,1104.1297388,O2,39.02,0.206,204,6969.73,1,26,3,1.18246,17.655,15.036,20.005,198.828,90,90.377,1.86356945310768,3,49.36,436,46343.748,0.817850142092083,1,210,71.553,50.168,125.973,207.3,196.6,146.1,0.24062203667898,1,32268.828,102.998,898,159,4075296000000000,5107595714285714,-625592812500000,833149444444445,none,0.045,90
26,1,dry,956.15690801,H2O,33.41,0.218,144,7133.83,1,27,1,1.22609,19.821,14.96,19.998,198.925,90.001,88.887,2.0143221012968,1,40.752,405,44360.46,0.780382907880133,1,353,69.65,51.216,142.983,204.9,207.9,122.3,0.252476466745221,1,31093.054,101.814,903,156,374044000000000,1.05E+16,-1412070312500000,828872222222222,none,0.073,146
27,1,dry,1058.8279727,O2,32.41,0.209,114,7074.4,2,1,1,1.81419,16.921,15.102,19.995,198.225,90,90.515,1.99765672373,2,43.579,405,43253.19,0.856502972382537,2,402,70.341,51.052,133.94,208.7,224.9,99.7,0.375277261555063,2,31490.992,105.795,890,154,2875108100000000,402860428571429,560852187500000,833731111111111,none,0.0455,91
28,1,dry,1240.2895471,H2O,37.48,0.204,106,7071.8,2,2,1,1.89693,13.908,14.999,19.995,199.62,89.999,89.336,1.87295807040648,3,44.797,405,44296.065,0.757781291221899,3,288,71.972,52.479,135.98,204.3,221.2,116.9,0.307497272914885,3,32725.266,103.911,911,156,2787298000000000,6581485142857143,-794620000000000,829906944444445,none,0.0545,109
29,1,dry,1097.0083322,H2O,32.84,0.206,165,7142.39,2,3,2,1.21682,14.435,15.059,20,199.343,90,92.718,2.00088162505916,1,42.474,365,39079.82,0.673920388768978,3,475,71.448,51.337,143.039,207,221.7,95,0.380058763624147,3,31538.328,103.924,896,152,1.84346013333333E+015,1.08E+16,-1611436875000000,831869166666667,none,0.0465,93
30,1,wet,1133.0169904,O2,32.35,0.201,174,7043.13,2,4,2,0.08372,13.612,14.976,19.998,200.716,90,92.045,1.8850419380204,3,46.074,436,46730.044,0.803867413501285,1,124,71.456,50.466,133.813,206.1,207.3,144.7,0.212416879000684,1,31998.259,100.411,920,154,2444201000000000,7711161714285714,-1034469687500000,833440833333333,none,0.021,42
31,1,dry,1023.1211623,H2O,37.89,0.204,75,6995.31,2,5,3,1.00456,14.795,15.077,20.005,197.232,89.999,91.009,1.96169730531096,1,63.17,436,47253.68,0.853400979062316,1,479,71.025,50.813,130.831,203.4,199.8,117.6,0.263339221123611,1,31811.636,103.273,923,154,2.55469753333333E+015,7802638000000000,-1039311875000000,833425555555555,none,0.0745,149
32,1,dry,1101.3963879,H2O,31.7,0.21,167,7027.07,2,6,3,1.59129,17.679,15.047,19.998,195.711,90.001,90.552,2.03362304036364,3,34.847,365,38784.9,0.704423781346858,3,395,71.306,51.814,129.807,206.3,240.7,86.4,0.465314750899795,3,32124.08,104.34,900,157,5176553333333333,3.18529142857143E+015,-282603125000000,829879722222222,none,0.0385,77
33,2,dry,1159.8601676,H2O,30.63,0.202,151,7062.77,2,7,1,1.15523,18.779,14.938,19.997,205.521,90.001,94.494,1.92489388756809,1,34.181,436,48396.436,0.805301692611172,3,387,71.297,50.787,135.477,205,212.7,114.4,0.294497863167844,3,30891.41,100.362,910,154,6060923166666667,5293585714285714,-820810625000000,838220277777778,none,0.0525,105
34,2,dry,1041.0096056,O2,35.88,0.221,113,7130.85,2,8,1,1.33389,17.805,15.024,19.998,193.229,90.001,92.963,1.84114432252461,2,24.236,365,39336.05,0.701673443101973,2,304,70.839,50.837,143.785,200.8,213,125.1,0.257512615627998,2,31517.072,105.868,885,153,3.17208026666667E+015,1.13E+16,-1856389687500000,829741666666667,none,0.088,176
35,2,dry,1131.7743178,O2,42.9,0.199,64,7039.7,2,9,1,0.82029,13.068,14.989,20,200.843,90.001,92.554,1.9888672772185,3,64.634,436,47121.572,0.87927334914412,1,484,69.835,52.027,134.57,202.6,206.4,112,0.287993654377107,1,31790.504,100.638,867,150,3.93905333333333E+015,9.53761E+015,-1561476875000000,832370277777778,none,0.0575,115
36,2,wet,1011.580452,O2,27.08,0.2,113,7114.01,2,10,2,1.20012,17.634,14.914,19.998,197.875,90,94.745,1.87557359985021,1,34.175,436,47476.476,0.797538605624476,1,147,70.848,51.578,139.801,206.2,216.2,134.5,0.234533896176408,1,32067.825,102.656,901,154,2.53175166666667E+015,7512485428571429,-961154687500000,831184722222222,none,0.0345,69
37,2,dry,1096.8907283,H2O,39.28,0.193,147,7233.58,2,11,2,1.37639,15.585,14.848,20.001,204.07,90.001,89.548,1.8866875799645,2,43.434,405,43273.44,0.808284819612782,2,543,70.915,51.108,152.458,205.1,230.9,80.6,0.449288402500232,2,31126.867,105.072,893,158,4.50077866666667E+015,6136165714285714,-868218750000000,830783333333333,none,0.064,128
38,2,wet,910.96412051,H2O,29.1,0.215,128,7131.95,2,12,2,1.88889,19.247,14.934,19.994,201.964,90,92.897,1.90529473734804,3,43.808,365,39696.305,0.676676535638607,3,620,69.914,51.379,139.795,209.3,217.9,84.2,0.410629688495765,3,31104.203,102.618,923,157,3.40004366666667E+015,-2609070000000000,1152314375000000,834915277777778,none,0.0645,129
39,2,dry,1167.0115997,O2,27.49,0.201,68,7082.23,2,13,3,1.43766,15.3,15.023,20.001,200.642,89.999,90.439,1.98777287340133,1,50.402,365,39390.07,0.725259702583911,3,404,70.941,51.727,135.723,207.7,214.9,109.5,0.315652500737471,3,32566.66,99.988,887,155,3.72242233333333E+015,4683817142857143,-463467500000000,826805833333333,none,0.066,132
40,2,dry,1031.0640614,H2O,34.11,0.205,129,7094.68,2,14,3,1.57824,14.855,15.019,20.003,198.568,90.001,93.896,1.95541544108007,2,59.605,436,46807.216,0.791672189609121,2,389,71.774,51.297,135.668,211,210.6,113.3,0.291394757876904,2,32521.877,99.525,892,153,2373514000000000,7950302000000000,-1052693750000000,829980000000000,none,0.0495,99
41,2,dry,1180.3394847,H2O,37.93,0.212,179,7028.76,2,15,3,1.11559,15.425,14.776,20,196.989,90,92.294,1.92030576322703,3,50.867,365,39082.01,0.716456113627977,1,228,69.947,51.177,131.176,205.9,243.9,99.1,0.42583475964451,1,31358.645,105.044,899,152,782064000000000,5598986571428571,-398916250000000,830332777777778,none,0.031,62
42,3,wet,1030.763662,O2,33.82,0.213,55,7054.24,2,16,1,1.61413,15.302,15.033,20.001,201.671,90,93.479,1.94852524484389,1,30.188,365,40110.58,0.680269573126183,1,480,71.607,50.932,133.224,203.3,230.7,90.2,0.42742583173112,1,31818.475,102.605,920,152,55049000000000,5475585428571429,-295366250000000,830504166666667,none,0.0625,125
43,3,wet,1154.1069836,H2O,33.08,0.205,121,6949.73,2,17,1,1.32311,19.33,14.895,19.999,200.472,90,92.399,1.82182924304436,2,51.146,436,47243.652,0.84474023269106,2,324,71.176,52.269,120.673,210.3,201.6,130,0.270542264776862,2,31391.261,106.14,911,159,2571269000000000,6800347428571429,-840227500000000,830057500000000,none,0.0485,97
44,3,dry,984.80973869,H2O,35.14,0.21,125,6996.1,2,18,1,1.08216,14.202,15.039,20.003,195.62,90.001,91.181,1.93763056190761,3,51.079,365,39444.455,0.674960981707633,3,208,70.758,51.796,125.91,209.1,217.2,126.6,0.268970698722765,3,32378.318,104.608,900,150,5202496600000000,6151184285714286,-911563750000000,830240555555556,none,0.031,62
45,3,dry,1141.7084381,H2O,25.2,0.195,186,7093.26,2,19,2,1.53915,15.979,14.981,20.001,204.061,89.999,93.341,1.95218712328828,1,34.118,365,39375.47,0.65542684448786,3,419,70.973,51.77,136.526,205.1,214.9,110.9,0.31164503630365,3,31655.809,106.163,892,151,5754662000000000,6531781428571429,-1062227187500000,832187777777778,none,0.0785,157
46,3,wet,1183.7236397,H2O,32.31,0.225,178,7034.3,2,20,2,1.85115,15.467,15.167,19.999,201.84,89.999,92.275,1.95334069213173,2,29.099,405,43961.13,0.759413919963398,2,481,71.049,51.212,132.43,206.2,216.9,99.8,0.357377199273648,2,31475.03,104.423,867,155,2.56509033333333E+015,430613428571429,565990937500000,832088055555555,none,0.092,184
47,3,dry,1226.0236301,O2,31.05,0.202,135,6938.84,2,21,2,1.49594,16.292,14.955,20.003,203.373,90,92.602,1.87507250903443,3,58.236,436,47567.164,0.841112660867619,1,319,70.119,51.77,121.684,205,199.6,135.7,0.251716053560207,1,32535.703,100.868,894,153,4.11642966666667E+015,5508584285714286,-680656875000000,829599722222222,none,0.064,128
48,3,dry,1189.4704098,O2,44.4,0.21,91,7120.72,2,22,3,1.17906,15.389,14.924,20.003,199.778,89.999,90.014,1.97958698631599,1,50.242,405,43505.505,0.792309317557575,1,411,72.115,50.716,138.872,207.8,215.5,108.8,0.318046058553859,1,30855.391,104.158,891,151,2.34819186666667E+015,9.20347642857143E+015,-1318515937500000,834266666666667,none,0.0855,171
49,3,dry,1080.2135215,H2O,32.52,0.193,90,7075.78,2,23,3,0.99842,15.637,15.084,19.999,203.21,89.999,91.947,1.95901966680138,2,48.317,405,43796.295,0.757291029747514,2,339,70.245,50.29,136.478,206.8,223.6,106.8,0.346753196631031,2,31108.4,102.193,871,159,1886129000000000,1.39913842857143E+015,405930312500000,832607222222222,none,0.0295,59
50,3,dry,1139.6899983,O2,37.34,0.205,86,7067.73,2,24,3,0.83508,15.27,15.1,19.999,197.994,90,91.942,1.98021563940667,3,47.379,365,39511.25,0.729852569780904,3,237,70.437,50.087,134.573,208.7,226,113.8,0.328515400257366,3,31638.792,105.637,920,157,3567695200000000,1.22E+16,-2103090625000000,835381388888889,none,0.021,42
51,1,wet,1070.5742384,O2,35.21,0.21,56,7147.62,2,25,1,0.76893,15.085,14.983,20.003,200.863,90.002,94.751,1.8508245293884,1,49.091,365,39909.1,0.714220022815905,3,272,70.888,51.091,143.162,205.3,217.8,121.3,0.280701958514287,3,32033.214,103.982,905,152,4.19521316666667E+015,5895540000000000,-763666875000000,830900555555555,none,0.047,94
52,1,wet,1035.6123981,H2O,39.84,0.22,126,6974.95,2,26,1,1.37351,17.717,15.013,19.99,201.966,90,91.712,1.9336085099964,2,41.355,365,39707.985,0.699075687871324,2,616,70.392,50.488,125.095,207.3,227.7,75.8,0.477751830097736,2,31929.509,102.576,893,154,2126802000000000,7393283428571429,-920955312500000,835062777777778,none,0.057,114
53,1,dry,1162.9936157,O2,38.4,0.212,107,7166.21,2,27,1,1.26007,19.372,14.947,19.997,198.005,90.001,92.482,1.90768003999617,3,46.285,436,46854.74,0.872542721572818,1,387,72.489,51.776,146.121,201.7,201,129.1,0.214184248607138,1,32769.049,101.986,898,155,1.88784866666667E+015,9.02858142857143E+015,-1268444062500000,831937222222222,none,0.0785,157
54,1,dry,1136.2293796,O2,38.47,0.203,96,7150.89,3,1,2,0.7861,13.842,14.953,20.003,199.98,90,93.185,1.93254317290991,1,50.959,436,46449.26,0.922224337415657,1,248,72.076,51.556,146.789,200.5,212.1,130.9,0.235263780822235,1,32331.242,102.757,923,157,1.91102733333333E+015,4.33647557142857E+015,-224337187500000,831908611111111,none,0.0575,115
55,1,dry,935.94165028,O2,40.44,0.199,86,7105.5,3,2,2,1.71393,17.833,14.807,19.999,198.395,90.001,90.982,1.98076770164259,2,19.489,436,46171.528,0.903716846442755,2,683,71.472,51.805,138.85,205.8,211.3,86.3,0.389256520046711,2,32326.879,102.2,901,154,1.19096133333333E+015,1.58E+16,-2664691250000000,833428055555556,none,0.095,190
56,1,wet,1209.6556686,H2O,31.58,0.188,64,7094.29,3,3,2,1.52526,16.232,15.09,19.999,201.909,90.001,91.422,1.94953245280583,3,37.595,436,47930.788,0.802776575863307,3,417,70.563,51.521,137.729,210.3,215.9,103.8,0.335764958538569,3,31066.014,103.558,897,151,3157771000000000,2.21857142857143E+015,128323437500000,827260555555556,none,0.038,76
57,1,dry,1118.4842937,O2,26.32,0.211,118,7126.11,3,4,3,1.92903,13.442,15.049,20.003,198.351,90,91.031,1.93109230828299,2,57.632,405,44211.015,0.79079939079158,2,479,71.001,51.364,138.511,209.1,218.4,98.7,0.360156519148923,2,31522.953,101.965,873,154,2722820100000000,8042215428571429,-1085606562500000,831486666666667,[['Edge-Loc']],0.1135,227
58,1,dry,1090.3479898,H2O,48.42,0.213,205,7113.5,3,5,3,0.65542,12.891,14.913,19.998,199.5,90,92.134,1.89691550059745,3,32.502,365,39489.715,0.671111323578623,1,433,69.269,51.915,138.95,206.7,219.1,103.3,0.346680637676821,1,33101.496,100.915,866,150,3978988000000000,2.17138285714286E+015,52750000000000,832770277777778,none,0.051,102
59,2,dry,1130.3791394,O2,29.89,0.208,105,7154.78,3,6,1,1.05533,18.777,14.959,20.002,205.983,89.999,92.043,2.00987880655233,1,35.409,365,39321.085,0.696190218241328,1,333,70.209,51.41,142.878,208.1,195,136.2,0.210795422895491,1,30821.235,103.236,895,157,2.96155866666667E+015,1.16E+16,-1936258437500000,837688333333333,none,0.0605,121
60,2,wet,1062.0710716,O2,36.82,0.201,160,7096.83,3,7,1,0.61786,14.91,15.116,20.007,200.051,89.999,91.804,1.90892427908425,2,34.851,405,43145.46,0.796312972626496,2,323,69.944,50.735,141.183,202.1,223.7,110.4,0.33452271462378,2,31606.805,103.492,903,156,3.02224633333333E+015,7266710000000000,-981902187500000,832950277777778,none,0.049,98
61,2,dry,1042.3674321,H2O,31.54,0.205,116,7067.95,3,8,1,1.11808,15.465,15.091,20.001,198.72,90,91.097,1.92915462103716,3,61.732,405,44099.64,0.772174271153285,3,483,69.75,50.183,134.395,207.5,222.3,94.3,0.388765290548903,3,31189.123,104.163,909,153,3.67914893333333E+015,4935962857142857,-511859062500000,831284166666667,none,0.0495,99
62,2,wet,1003.2154946,H2O,39.23,0.196,104,7028.37,3,9,2,1.2529,15.725,15.281,19.996,200.449,89.999,91.772,1.86810979994474,2,35.644,365,39127.27,0.709405945404896,2,222,71.255,50.189,130.537,205.5,217.1,127.5,0.263282777750842,2,31897.149,102.736,878,154,1.93031966666667E+015,1.11E+16,-1721394375000000,831780000000000,none,0.0375,75
63,2,wet,1094.8534411,O2,38.6,0.213,241,7148.4,3,10,2,1.93117,15.632,14.885,19.994,202.281,90.001,91.215,1.95415460771886,3,54.002,436,46598.808,0.853942531234515,1,479,70.109,50.147,143.54,203.6,212.6,107.2,0.316070411131436,1,31251.878,101.442,878,157,5020945300000000,5280277142857143,-717265625000000,834456944444445,none,0.0905,181
64,2,wet,1133.5707586,O2,38.76,0.207,209,7004.38,3,11,3,1.21065,13.804,14.921,19.996,201.434,89.999,93.44,1.97469575805432,1,63.039,365,40243.075,0.701332339298821,1,687,70.977,50.912,130.538,207.2,230.3,63.7,0.527433841244313,1,30703.029,101.03,899,153,4128946000000000,9.52610285714286E+015,-1566901562500000,831516388888889,none,0.0435,87
65,2,dry,1168.7631084,O2,35.52,0.219,125,7088.39,3,12,3,0.45513,15.4,14.906,19.997,196.285,90,93.508,1.98270378497267,2,32.483,365,39283.49,0.715444987180794,2,285,72.053,51.963,137.839,203.9,210.4,128.2,0.241644239121967,2,30325.348,103.937,912,157,1599975000000000,1.45E+16,-2418121562500000,825328333333333,none,0.0775,155
66,2,wet,967.62313324,O2,35.31,0.217,81,7098.33,3,13,3,1.54874,12.904,15.059,20.003,198.863,90,93.226,1.93851371226696,3,53.019,405,43928.325,0.87828108464461,3,367,70.353,53.272,141.133,207.4,206,118.6,0.263840875428779,3,32066.425,99.938,925,154,1.47530766666667E+015,1.07E+16,-1566425937500000,833928333333333,none,0.042,84
67,3,dry,957.23727429,O2,28.59,0.21,0,6995.47,3,14,1,0.74391,15.582,15.016,19.997,201.257,90,95.561,2.0268584463384,1,42.139,365,39983.56,0.718293256505474,3,189,71.594,50.718,127.947,207.2,218.8,126.7,0.270624861345161,3,31988.811,98.542,881,155,4.33741333333333E+015,5304917142857143,-658869375000000,825820555555556,none,0.0495,99
68,3,wet,1114.9722684,O2,30.87,0.202,156,7169.48,3,15,1,0.93069,12.78,15.05,19.999,209.521,90.001,92.89,1.95355977187852,3,26.621,365,39250.275,0.696032234873694,1,574,69.995,52.102,147.248,200.8,223,88.5,0.407855076506941,1,29985.962,103.541,877,154,2.38265833333333E+015,1.56E+16,-2736638437500000,834729166666667,none,0.0965,193
69,3,wet,1119.8133536,O2,35.73,0.211,170,7035.16,3,16,2,0.35232,19.284,14.954,19.991,198.731,90,92.973,1.8285388901254,1,45.388,365,39686.45,0.730612253068071,1,309,71.335,50.724,133.316,206.3,211,122,0.264638367211009,1,31431.504,103.893,893,155,2.48363963333333E+015,8634285285714286,-1214286250000000,835436666666667,none,0.035,70
70,3,wet,1096.568516,O2,31.09,0.216,29,7134.06,3,17,2,0.91653,11.949,14.876,19.994,200.343,90,92.093,1.92033070778538,2,33.597,365,39660.535,0.691772643708659,2,146,71.135,50.849,141.606,205.4,226.9,124.9,0.291926514654997,2,32189.734,101.709,878,155,3.77180136666667E+015,2604292857142857,-16894687500000,833621666666667,none,0.0475,95
71,3,dry,1102.7503089,H2O,37.47,0.205,68,6936.91,3,18,2,1.85229,15.648,14.872,20.003,201.432,90.001,91.561,1.89876563410829,3,48.717,365,39693.75,0.66873455268987,3,405,71.021,51.179,121.291,205.4,220,106.5,0.347524690327944,3,31178.487,103.251,911,154,3.95992063333333E+015,928527142857143,335871250000000,832078333333333,none,0.071,142
